Title,Associated_Location,Card Number,Flavor_Text,Image_Source_Idea,Rules_Text,Type
Ferns brush the knee,Darkwood Brume,110,Touch teaches direction better than sight.,,EFFECT: None,Caesura
Cooling moss salve,Darkwood Brume,109,Sunburn eases; breath deepens.,,"USE:
Heal 1d6+2",Item
False trails and lost purpose,Darkwood Brume,111,The map unhelpfully becomes you.,,"CHALLENGE:
Roll 1d6, Target: 4+, need 3 successes before 3 failures.
Each failure: Lose 3 HP.
On 3 failures: Move the Resolve/Dread marker down 1.",Pit
Why bother?,Darkwood Brume,113,Fatigue argues for surrender.,,"EFFECT: 
Lose 2 HP every time a card is turned face up",Snare
Marks blur to nothing,Darkwood Brume,112,The forest edits your certainty.,,EFFECT: None,Caesura
Paths suggest detours,Darkwood Brume,114,You nod politely and continue.,,EFFECT: None,Caesura
Fine threads on your sleeve,Darkwood Brume,116,You prefer not to know their maker.,,EFFECT: None,Caesura
"After victory, pointlessness lingers",Darkwood Brume,117,Meaning hides behind the next step.,,"CHOOSE:
Lose 8 HP
or 
move the Resolve/Dread marker down 1",Terror
Mist-spun giant spider,Darkwood Brume,115,You cut vapor and find venom.,,"FIGHT: 7 HP
----------
1 Dissipate (Miss)
2 Veil (Block)
3 Filament Lash (2 DMG)
4 Needle Bite (2 DMG)
5 Envenom (1 DMG & +1 DMG rest of fight)
6 Fog-Feint (Block & 2 DMG)",Beast
The Sage,Darkwood Brume,119,"A robed figure steps from the mist. He nods once, then follows.",,"ENCOUNTER:
The Sage follows you

NIGHT SEA CROSSING:
If The Sage has Ferryman's Bell, you may cross the Nightsea Expanse to reach the Guardian",Companion
Fog blinks first,Darkwood Brume,118,You take the path that opens an eye.,,EFFECT: None,Caesura
Footsteps ahead,Darkwood Brume,120,unclaimed,,EFFECT: None,Caesura
Sunstone,Darkwood Brume,121,"With it, you walk out of the fog.",,"EQUIP:
Once per location, turn 2 cards face up
Turn sideways to track use",Equipment
Light thickens then thins,Darkwood Brume,122,Somewhere is nearer than it was.,,EFFECT: None,Caesura
Trail brightens by degrees,Darkwood Brume,123,Seeing is a verb you remember.,,EFFECT: None,Caesura
Guidance,Darkwood Brume,124,xxxxxxxxxxxxxxxxxx,,"EFFECT:
Cleanse 1 Snare 
& 
+1 to Player rolls next CHALLENGE",Blessing
Amara Rot Glade,Amara Rot Glade,125,Resentment blooms among red rot and biting flies.,,,Location
Black-thorn sap,Amara Rot Glade,126,Poison or remedy depends on the hand.,,"USE:
2 DMG to Human",Item
Thorns watching,Amara Rot Glade,127,You pass like an apology through green teeth.,,EFFECT: None,Caesura
Tar pits and crimson vines,Amara Rot Glade,128,Every step negotiates with hunger.,,"CHALLENGE:
Roll 1d6, Target: 5+, need 3 successes before 3 failures.
Each failure: Lose 3 HP.
On 3 failures: Move the Resolve/Dread marker down 1.",Pit
Step lifts,Amara Rot Glade,129,step sinks,,EFFECT: None,Caesura
Gravecoil Ambusher,Amara Rot Glade,130,Death coils; patience tightens.,,"FIGHT: 7 HP
----------
1 Slack (Miss)
2 Grave Scutes (Block)
3 Bonebind Constrict (1 DMG & Player skips next roll)
4 Carrion Bite (3 DMG)
5 Rot-Venom (3 DMG & +1 DMG rest of fight)
6 Undying Coil (Block & 4 DMG)",Beast
Still water listens,Amara Rot Glade,131,You keep your secrets for the shore.,,EFFECT: None,Caesura
Drowning ambush,Amara Rot Glade,132,Her plea was bait; your mercy almost fatal.,,"FIGHT: 5 HP
----------
1 Trudge (Miss)
2 Collapsed veins (Block)
3 Dredge (2 DMG) 
4 Drown (1 DMG & Player skips next roll)
5 Strangle (2 DMG & Player skips next roll)
6 Howl (2 DMG & Player skips next roll)",Hollow
Mud rinsed from hands,Amara Rot Glade,133,"Clean is a direction, not a state.",,EFFECT: None,Caesura
Betrayal shock,Amara Rot Glade,134,Trust cracks like peat underfoot.,,"CHOOSE:
Lose 8 HP
or 
move the Resolve/Dread marker down 1",Terror
Eyes on the banks,Amara Rot Glade,135,Patience lives here and notices everything.,,EFFECT: None,Caesura
Bleeding-heart talisman,Amara Rot Glade,136,Heightened awareness through rot and snare.,,"EQUIP:
+1 to CHALLENGE rolls",Equipment
Caution widens,Amara Rot Glade,137,Your circle of attention grows a second edge.,,EFFECT: None,Caesura
Pity for the fallen,Amara Rot Glade,138,Compassion keeps you from becoming the swamp.,,"EFFECT:
Cleanse 1 Snare 
& 
+2 to next Heal",Blessing
Air sweetens toward mercy,Amara Rot Glade,139,Bitterness remembers to breathe out.,,EFFECT: None,Caesura
Gnats sketch circles,Amara Rot Glade,140,The itch reminds you to move.,,EFFECT: None,Caesura
Rot offers passage,Amara Rot Glade,141,You accept the cost and go.,,EFFECT: None,Caesura
Frozen Gaol,Frozen Gaol,143,,,,Location
Fracturing ice floor,Frozen Gaol,144,Each step auditions catastrophe.,,"CHALLENGE:
Roll 1d6, Target: 5+, need 3 successes before 3 failures.
Each failure: Lose 3 HP.
On 3 failures: Move the Resolve/Dread marker down 1.",Pit
Lay her to rest,Amara Rot Glade,142,You bury her with a flower; bitterness loosens.,,"REST:
Spend 1 Resolve to gain 1 Grace
OR
Spend 1 Resolve to heal 5 HP",Rest
Crack-lines underfoot,Frozen Gaol,145,You map by sound more than sight.,,EFFECT: None,Caesura
Wardens ice shield,Frozen Gaol,146,Sees what watches; refuses to be seen.,,"EQUIP:
1 Block",Equipment
Panopticon isolation,Frozen Gaol,148,You feel watched by everyone and no one.,,"EFFECT: 
-1 to FIGHT rolls",Snare
Cold ward of silence,Frozen Gaol,147,You choose not to disturb the held breath.,,EFFECT: None,Caesura
No gaze finds you,Frozen Gaol,149,You practice being ordinary as ice.,,EFFECT: None,Caesura
Frosted garden rest,Frozen Gaol,150,"Hoarfrost petals, a bench of silence.",,"REST:
Spend 1 Resolve to gain 1 Grace
OR
Spend 1 Resolve to heal 5 HP",Rest
Bench of frost,Frozen Gaol,151,Rest is an agreement with the cold.,,EFFECT: None,Caesura
Judgment like a draft,Frozen Gaol,153,It passes through; you keep your warmth.,,EFFECT: None,Caesura
"Thyra, the Warden",Frozen Gaol,154,"At the center, authority shivers.",,"FIGHT: 5 HP
----------
1 Ram (Block) 
2 Shield (Block) 
3 Stasis chain (Player skips next roll) 
4 Rime blast (3 DMG)
5 Ice spear (3 DMG)
6 Impale (3 DMG)",Hollow
Life under judgment,Frozen Gaol,152,Freedom a rumor; you a supporting role.,,"CHOOSE:
Lose 8 HP
or 
move the Resolve/Dread marker down 1",Terror
Bridge whitening with rime,Frozen Gaol,155,Edges blur; balance does not.,,EFFECT: None,Caesura
Great white wolf,Frozen Gaol,156,It guards the fall; snow learns your color.,,"FIGHT: 7 HP
----------
1 Whiteout Stalk (Miss; next hit +1 DMG)
2 Iceback (Block)
3 Pounce (1 DMG & Player skips next roll)
4 Fang (3 DMG)
5 Hamstring (3 DMG & no rerolls next round)
6 Winter Howl (Block & 2 DMG)",Beast
White hush,Frozen Gaol,157,wide as a hall,,EFFECT: None,Caesura
Snow-Melt Tear,Frozen Gaol,158,Cold that frees bars behind the throne.,,"USE:
Full Heal",Item
Passage breath clouds ahead,Frozen Gaol,159,The way accepts your warmth and yields.,,EFFECT: None,Caesura
Keys ring somewhere far,Frozen Gaol,160,Patience wears a coat of frost.,,EFFECT: None,Caesura
Melted way out,Frozen Gaol,161,A hidden tunnel descends toward freedom.,,"EFFECT:
Cleanse 1 Snare
&
Full Heal",Blessing
Find the underground river,The Nightsea Expanse,163,"A cavern river leads deeper, then becomes an underground sea.",,"REST:
Spend 1 Resolve to gain 1 Grace
OR
Spend 1 Resolve to heal 5 HP",Rest
The Nightsea Expanse,The Nightsea Expanse,162,,,,Location
Boat skims the dark,The Nightsea Expanse,164,The current sets the sentence; you provide the verb.,,EFFECT: None,Caesura
Eroding sense of self,The Nightsea Expanse,165,What remains?,,"EFFECT:
-1 to all rolls",Snare
Self in the oar rhythm,The Nightsea Expanse,166,Repetition forgets your edges.,,EFFECT: None,Caesura
Ferryman's Bell,The Nightsea Expanse,167,Ancient bronze; silent until needed.,,"EQUIP:
Once per combat, reroll any single die",Equipment
Austere Leviathan,The Nightsea Expanse,169,A mountain of intent rises beneath your keel.,,"FIGHT: 7 HP
----------
1 Sounding (Miss & +1 DMG next Breach)
2 Keelshadow (Block)
3 Undertow Drag (1 DMG & +1 DMG next Breach)
4 Wake Wall (1 DMG & +1 DMG next Breach)
5 Pressure Fold (2 DMG)
6 Breach (5 DMG)",Beast
Oar dips,The Nightsea Expanse,168,current answers,,EFFECT: None,Caesura
Pearl of opal dawn,The Nightsea Expanse,171,Drowned dawn trapped in stone.,,"USE:
Move the Resolve/Dread marker up to 2 steps toward Resolve",Item
Wake stitches a path,The Nightsea Expanse,170,"Thread behind, question ahead.",,EFFECT: None,Caesura
Horizon is a sound,The Nightsea Expanse,172,You listen until it becomes direction.,,EFFECT: None,Caesura
Transmuted whirlpool,The Nightsea Expanse,173,The sea reconsiders your path into a circle.,,"CHALLENGE:
Roll 1d6, Target: 5+, need 3 successes before 3 failures.
Each failure: Lose 3 HP.
On 3 failures: Move the Resolve/Dread marker down 1.",Pit
Water decides twice,The Nightsea Expanse,174,Circles open when you stop arguing.,,EFFECT: None,Caesura
Abyssal unreality,The Nightsea Expanse,175,You travel timelessly; what is sloughs off like scales.,,"CHOOSE:
Lose 8 HP
or 
move the Resolve/Dread marker down 1",Terror
Aeron the Half-Changed,The Nightsea Expanse,177,Beached between selves; you finish the choice he would not.,,"FIGHT: 5 HP
----------
1 Wild swing (Miss) 
2 Blink (Block) 
3 Duelists carve (3 DMG) 
4 Silent shout (3 DMG)
5 Aura of pain (3 DMG)
6 Rending sorrow (3 DMG)",Hollow
Silence with weight,The Nightsea Expanse,176,Depth measures you back.,,EFFECT: None,Caesura
Acceptance,The Nightsea Expanse,180,You sail on without guarantees; that is the door.,,"EFFECT:
Cleanse 1 Snare 
& 
Full Heal",Blessing
Rock rises,The Nightsea Expanse,178,then sinks,,EFFECT: None,Caesura
Phosphor wakes in the wake,The Nightsea Expanse,179,Small lights agree to travel.,,EFFECT: None,Caesura
,,181,,,,Spare
,,184,,,,Spare
,,183,,,,Spare
,,182,,,,Spare
,,186,,,,Spare
,,187,,,,Spare
,,185,,,,Spare
,,189,,,,Spare
,,188,,,,Spare
,,191,,,,Spare
,,192,,,,Spare
,,190,,,,Spare
,,195,,,,Spare
,,194,,,,Spare
,,197,,,,Spare
,,196,,,,Spare
,,193,,,,Spare
,,199,,,,Spare
,,200,,,,Spare
,,198,,,,Spare
,,200,,,,Spare
