boosterIndex,boosterName,setCode,sheetName,sheetPicks
0,vip,2XM,foilForest2,1
0,vip,2XM,foilIsland1,1
0,vip,2XM,foilIsland2,1
0,vip,2XM,foilMountain1,1
0,vip,2XM,foilMountain2,1
0,vip,2XM,foilPlains1,1
0,vip,2XM,foilPlains2,1
0,vip,2XM,foilRareMythic,2
0,vip,2XM,foilRareMythicBorderless,2
0,vip,2XM,foilSwamp1,1
0,vip,2XM,foilSwamp2,1
0,vip,2XM,foilUncommon,8
0,draft,30A,a30Basic,2
0,draft,30A,a30Common,7
0,draft,30A,a30Rare,1
0,draft,30A,a30Retro,1
0,draft,30A,a30RetroBasic,1
0,draft,30A,a30Uncommon,3
0,default,3ED,common,11
0,default,3ED,rare,1
0,default,3ED,uncommon,3
0,starter,3ED,commonWithDuplicates,45
0,starter,3ED,rare,2
0,starter,3ED,uncommonWithDuplicates,13
0,default,4ED,common,11
0,default,4ED,rare,1
0,default,4ED,uncommon,3
0,starter,4ED,basic,22
0,starter,4ED,commonWithDuplicates,26
0,starter,4ED,rare,3
0,starter,4ED,uncommonWithDuplicates,9
0,draft,5DN,common,11
0,draft,5DN,rare,1
0,draft,5DN,uncommon,3
1,draft,5DN,common,10
1,draft,5DN,foilCommon,1
1,draft,5DN,rare,1
1,draft,5DN,uncommon,3
2,draft,5DN,common,11
2,draft,5DN,foilUncommon,1
2,draft,5DN,rare,1
2,draft,5DN,uncommon,2
3,draft,5DN,common,10
3,draft,5DN,foilCommon,1
3,draft,5DN,foilUncommon,1
3,draft,5DN,rare,1
3,draft,5DN,uncommon,2
4,draft,5DN,common,11
4,draft,5DN,foilRare,1
4,draft,5DN,uncommon,3
5,draft,5DN,common,10
5,draft,5DN,foilCommon,1
5,draft,5DN,foilRare,1
5,draft,5DN,uncommon,3
6,draft,5DN,common,11
6,draft,5DN,foilRare,1
6,draft,5DN,foilUncommon,1
6,draft,5DN,uncommon,2
7,draft,5DN,common,10
7,draft,5DN,foilCommon,1
7,draft,5DN,foilRare,1
7,draft,5DN,foilUncommon,1
7,draft,5DN,uncommon,2
0,fat-pack,5DN,foilBasic,1
0,fat-pack,5DN,foilCommon,1
0,draft,5ED,common,11
0,draft,5ED,rare,1
0,draft,5ED,uncommon,3
0,starter,5ED,basic,22
0,starter,5ED,commonWithDuplicates,26
0,starter,5ED,rare,3
0,starter,5ED,uncommonWithDuplicates,9
0,draft,6ED,common,11
0,draft,6ED,rare,1
0,draft,6ED,uncommon,3
0,tournament,6ED,basic,30
0,tournament,6ED,commonWithDuplicates,32
0,tournament,6ED,rare,3
0,tournament,6ED,uncommonWithDuplicates,10
0,draft,7ED,basic,1
0,draft,7ED,common,10
0,draft,7ED,rare,1
0,draft,7ED,uncommon,3
1,draft,7ED,basic,1
1,draft,7ED,common,9
1,draft,7ED,foilCommon,1
1,draft,7ED,rare,1
1,draft,7ED,uncommon,3
2,draft,7ED,basic,1
2,draft,7ED,common,10
2,draft,7ED,foilUncommon,1
2,draft,7ED,rare,1
2,draft,7ED,uncommon,2
3,draft,7ED,basic,1
3,draft,7ED,common,9
3,draft,7ED,foilCommon,1
3,draft,7ED,foilUncommon,1
3,draft,7ED,rare,1
3,draft,7ED,uncommon,2
4,draft,7ED,basic,1
4,draft,7ED,common,10
4,draft,7ED,foilRare,1
4,draft,7ED,uncommon,3
5,draft,7ED,basic,1
5,draft,7ED,common,9
5,draft,7ED,foilCommon,1
5,draft,7ED,foilRare,1
5,draft,7ED,uncommon,3
6,draft,7ED,basic,1
6,draft,7ED,common,10
6,draft,7ED,foilRare,1
6,draft,7ED,foilUncommon,1
6,draft,7ED,uncommon,2
7,draft,7ED,basic,1
7,draft,7ED,common,9
7,draft,7ED,foilCommon,1
7,draft,7ED,foilRare,1
7,draft,7ED,foilUncommon,1
7,draft,7ED,uncommon,2
8,draft,7ED,common,10
8,draft,7ED,foilBasic,1
8,draft,7ED,rare,1
8,draft,7ED,uncommon,3
9,draft,7ED,common,9
9,draft,7ED,foilBasic,1
9,draft,7ED,foilCommon,1
9,draft,7ED,rare,1
9,draft,7ED,uncommon,3
10,draft,7ED,common,10
10,draft,7ED,foilBasic,1
10,draft,7ED,foilUncommon,1
10,draft,7ED,rare,1
10,draft,7ED,uncommon,2
11,draft,7ED,common,9
11,draft,7ED,foilBasic,1
11,draft,7ED,foilCommon,1
11,draft,7ED,foilUncommon,1
11,draft,7ED,rare,1
11,draft,7ED,uncommon,2
12,draft,7ED,common,10
12,draft,7ED,foilBasic,1
12,draft,7ED,foilRare,1
12,draft,7ED,uncommon,3
13,draft,7ED,common,9
13,draft,7ED,foilBasic,1
13,draft,7ED,foilCommon,1
13,draft,7ED,foilRare,1
13,draft,7ED,uncommon,3
14,draft,7ED,common,10
14,draft,7ED,foilBasic,1
14,draft,7ED,foilRare,1
14,draft,7ED,foilUncommon,1
14,draft,7ED,uncommon,2
15,draft,7ED,common,9
15,draft,7ED,foilBasic,1
15,draft,7ED,foilCommon,1
15,draft,7ED,foilRare,1
15,draft,7ED,foilUncommon,1
15,draft,7ED,uncommon,2
0,draft,8ED,basic,1
0,draft,8ED,common,10
0,draft,8ED,rare,1
0,draft,8ED,uncommon,3
1,draft,8ED,basic,1
1,draft,8ED,common,9
1,draft,8ED,foilCommon,1
1,draft,8ED,rare,1
1,draft,8ED,uncommon,3
2,draft,8ED,basic,1
2,draft,8ED,common,10
2,draft,8ED,foilUncommon,1
2,draft,8ED,rare,1
2,draft,8ED,uncommon,2
3,draft,8ED,basic,1
3,draft,8ED,common,9
3,draft,8ED,foilCommon,1
3,draft,8ED,foilUncommon,1
3,draft,8ED,rare,1
3,draft,8ED,uncommon,2
4,draft,8ED,basic,1
4,draft,8ED,common,10
4,draft,8ED,foilRare,1
4,draft,8ED,uncommon,3
5,draft,8ED,basic,1
5,draft,8ED,common,9
5,draft,8ED,foilCommon,1
5,draft,8ED,foilRare,1
5,draft,8ED,uncommon,3
6,draft,8ED,basic,1
6,draft,8ED,common,10
6,draft,8ED,foilRare,1
6,draft,8ED,foilUncommon,1
6,draft,8ED,uncommon,2
7,draft,8ED,basic,1
7,draft,8ED,common,9
7,draft,8ED,foilCommon,1
7,draft,8ED,foilRare,1
7,draft,8ED,foilUncommon,1
7,draft,8ED,uncommon,2
8,draft,8ED,common,10
8,draft,8ED,foilBasic,1
8,draft,8ED,rare,1
8,draft,8ED,uncommon,3
9,draft,8ED,common,9
9,draft,8ED,foilBasic,1
9,draft,8ED,foilCommon,1
9,draft,8ED,rare,1
9,draft,8ED,uncommon,3
10,draft,8ED,common,10
10,draft,8ED,foilBasic,1
10,draft,8ED,foilUncommon,1
10,draft,8ED,rare,1
10,draft,8ED,uncommon,2
11,draft,8ED,common,9
11,draft,8ED,foilBasic,1
11,draft,8ED,foilCommon,1
11,draft,8ED,foilUncommon,1
11,draft,8ED,rare,1
11,draft,8ED,uncommon,2
12,draft,8ED,common,10
12,draft,8ED,foilBasic,1
12,draft,8ED,foilRare,1
12,draft,8ED,uncommon,3
13,draft,8ED,common,9
13,draft,8ED,foilBasic,1
13,draft,8ED,foilCommon,1
13,draft,8ED,foilRare,1
13,draft,8ED,uncommon,3
14,draft,8ED,common,10
14,draft,8ED,foilBasic,1
14,draft,8ED,foilRare,1
14,draft,8ED,foilUncommon,1
14,draft,8ED,uncommon,2
15,draft,8ED,common,9
15,draft,8ED,foilBasic,1
15,draft,8ED,foilCommon,1
15,draft,8ED,foilRare,1
15,draft,8ED,foilUncommon,1
15,draft,8ED,uncommon,2
0,draft,9ED,basic,1
0,draft,9ED,common,10
0,draft,9ED,rare,1
0,draft,9ED,uncommon,3
1,draft,9ED,basic,1
1,draft,9ED,common,9
1,draft,9ED,foilCommon,1
1,draft,9ED,rare,1
1,draft,9ED,uncommon,3
2,draft,9ED,basic,1
2,draft,9ED,common,10
2,draft,9ED,foilUncommon,1
2,draft,9ED,rare,1
2,draft,9ED,uncommon,2
3,draft,9ED,basic,1
3,draft,9ED,common,9
3,draft,9ED,foilCommon,1
3,draft,9ED,foilUncommon,1
3,draft,9ED,rare,1
3,draft,9ED,uncommon,2
4,draft,9ED,basic,1
4,draft,9ED,common,10
4,draft,9ED,foilRare,1
4,draft,9ED,uncommon,3
5,draft,9ED,basic,1
5,draft,9ED,common,9
5,draft,9ED,foilCommon,1
5,draft,9ED,foilRare,1
5,draft,9ED,uncommon,3
6,draft,9ED,basic,1
6,draft,9ED,common,10
6,draft,9ED,foilRare,1
6,draft,9ED,foilUncommon,1
6,draft,9ED,uncommon,2
7,draft,9ED,basic,1
7,draft,9ED,common,9
7,draft,9ED,foilCommon,1
7,draft,9ED,foilRare,1
7,draft,9ED,foilUncommon,1
7,draft,9ED,uncommon,2
8,draft,9ED,common,10
8,draft,9ED,foilBasic,1
8,draft,9ED,rare,1
8,draft,9ED,uncommon,3
9,draft,9ED,common,9
9,draft,9ED,foilBasic,1
9,draft,9ED,foilCommon,1
9,draft,9ED,rare,1
9,draft,9ED,uncommon,3
10,draft,9ED,common,10
10,draft,9ED,foilBasic,1
10,draft,9ED,foilUncommon,1
10,draft,9ED,rare,1
10,draft,9ED,uncommon,2
11,draft,9ED,common,9
11,draft,9ED,foilBasic,1
11,draft,9ED,foilCommon,1
11,draft,9ED,foilUncommon,1
11,draft,9ED,rare,1
11,draft,9ED,uncommon,2
12,draft,9ED,common,10
12,draft,9ED,foilBasic,1
12,draft,9ED,foilRare,1
12,draft,9ED,uncommon,3
13,draft,9ED,common,9
13,draft,9ED,foilBasic,1
13,draft,9ED,foilCommon,1
13,draft,9ED,foilRare,1
13,draft,9ED,uncommon,3
14,draft,9ED,common,10
14,draft,9ED,foilBasic,1
14,draft,9ED,foilRare,1
14,draft,9ED,foilUncommon,1
14,draft,9ED,uncommon,2
15,draft,9ED,common,9
15,draft,9ED,foilBasic,1
15,draft,9ED,foilCommon,1
15,draft,9ED,foilRare,1
15,draft,9ED,foilUncommon,1
15,draft,9ED,uncommon,2
0,draft,A25,common,10
0,draft,A25,dedicatedFoil,1
0,draft,A25,rareMythic,1
0,draft,A25,uncommon,3
0,collector,ACR,etchedRareMythic,1
0,collector,ACR,etchedUncommon,1
0,collector,ACR,foilBasic,1
0,collector,ACR,foilRareMythic,1
0,collector,ACR,foilShowcaseRareMythic,1
0,collector,ACR,foilShowcaseUncommon,1
0,collector,ACR,foilUncommon,3
0,collector,ACR,nonfoilExtended,1
1,collector,ACR,borderlessScene,1
1,collector,ACR,etchedRareMythic,1
1,collector,ACR,etchedUncommon,1
1,collector,ACR,foilRareMythic,1
1,collector,ACR,foilShowcaseRareMythic,1
1,collector,ACR,foilShowcaseUncommon,1
1,collector,ACR,foilUncommon,3
1,collector,ACR,nonfoilExtended,1
0,default,ACR,basic,1
0,default,ACR,boosterFun,1
0,default,ACR,foil,1
0,default,ACR,rareMythic,1
0,default,ACR,uncommon,3
1,default,ACR,basic,1
1,default,ACR,boosterFunFoil,1
1,default,ACR,foil,1
1,default,ACR,rareMythic,1
1,default,ACR,uncommon,3
2,default,ACR,boosterFun,1
2,default,ACR,foil,1
2,default,ACR,rareMythic,1
2,default,ACR,scene,1
2,default,ACR,uncommon,3
3,default,ACR,boosterFunFoil,1
3,default,ACR,foil,1
3,default,ACR,rareMythic,1
3,default,ACR,scene,1
3,default,ACR,uncommon,3
0,draft,AER,basic,1
0,draft,AER,common,10
0,draft,AER,rareMythic,1
0,draft,AER,uncommon,3
1,draft,AER,basic,1
1,draft,AER,common,9
1,draft,AER,foilOrMasterpiece1In144,1
1,draft,AER,rareMythic,1
1,draft,AER,uncommon,3
0,prerelease,AER,prereleasePromo,1
0,arena,AFR,common,10
0,arena,AFR,rareMythic,1
0,arena,AFR,uncommon,3
0,collector,AFR,commonUncommonShowcase,2
0,collector,AFR,extendedCommanderRareMythic,1
0,collector,AFR,extendedCoreRareMythic,1
0,collector,AFR,foilBasic,1
0,collector,AFR,foilCommon,4
0,collector,AFR,foilCommonUncommonShowcase,1
0,collector,AFR,foilRareMythic,1
0,collector,AFR,foilRareMythicAltArt,1
0,collector,AFR,foilUncommon,2
0,collector,AFR,rareMythicShowcase,1
0,draft,AFR,basic,1
0,draft,AFR,commonWithShowcase,10
0,draft,AFR,rareMythicWithShowcase,1
0,draft,AFR,uncommonWithShowcase,3
1,draft,AFR,basic,1
1,draft,AFR,commonWithShowcase,9
1,draft,AFR,foilWithShowcase,1
1,draft,AFR,rareMythicWithShowcase,1
1,draft,AFR,uncommonWithShowcase,3
0,prerelease,AFR,prereleasePromo,1
0,set,AFR,basic,1
0,set,AFR,common,5
0,set,AFR,commonUncommonShowcase,1
0,set,AFR,foilWithShowcase,1
0,set,AFR,rareMythic,1
0,set,AFR,uncommon,1
0,set,AFR,wildcard,2
1,set,AFR,basic,1
1,set,AFR,common,5
1,set,AFR,commonUncommonShowcase,1
1,set,AFR,foilWithShowcase,1
1,set,AFR,rareMythic,1
1,set,AFR,theList,1
1,set,AFR,uncommon,1
1,set,AFR,wildcard,2
2,set,AFR,basic,1
2,set,AFR,common,4
2,set,AFR,commonUncommonShowcase,1
2,set,AFR,foilWithShowcase,1
2,set,AFR,rareMythic,1
2,set,AFR,uncommon,2
2,set,AFR,wildcard,2
3,set,AFR,basic,1
3,set,AFR,common,4
3,set,AFR,commonUncommonShowcase,1
3,set,AFR,foilWithShowcase,1
3,set,AFR,rareMythic,1
3,set,AFR,theList,1
3,set,AFR,uncommon,2
3,set,AFR,wildcard,2
4,set,AFR,basic,1
4,set,AFR,common,3
4,set,AFR,commonUncommonShowcase,1
4,set,AFR,foilWithShowcase,1
4,set,AFR,rareMythic,1
4,set,AFR,uncommon,3
4,set,AFR,wildcard,2
5,set,AFR,basic,1
5,set,AFR,common,3
5,set,AFR,commonUncommonShowcase,1
5,set,AFR,foilWithShowcase,1
5,set,AFR,rareMythic,1
5,set,AFR,theList,1
5,set,AFR,uncommon,3
5,set,AFR,wildcard,2
6,set,AFR,basic,1
6,set,AFR,common,2
6,set,AFR,commonUncommonShowcase,1
6,set,AFR,foilWithShowcase,1
6,set,AFR,rareMythic,1
6,set,AFR,uncommon,4
6,set,AFR,wildcard,2
7,set,AFR,basic,1
7,set,AFR,common,2
7,set,AFR,commonUncommonShowcase,1
7,set,AFR,foilWithShowcase,1
7,set,AFR,rareMythic,1
7,set,AFR,theList,1
7,set,AFR,uncommon,4
7,set,AFR,wildcard,2
8,set,AFR,basic,1
8,set,AFR,common,1
8,set,AFR,commonUncommonShowcase,1
8,set,AFR,foilWithShowcase,1
8,set,AFR,rareMythic,1
8,set,AFR,uncommon,5
8,set,AFR,wildcard,2
9,set,AFR,basic,1
9,set,AFR,common,1
9,set,AFR,commonUncommonShowcase,1
9,set,AFR,foilWithShowcase,1
9,set,AFR,rareMythic,1
9,set,AFR,theList,1
9,set,AFR,uncommon,5
9,set,AFR,wildcard,2
10,set,AFR,basic,1
10,set,AFR,commonUncommonShowcase,1
10,set,AFR,foilWithShowcase,1
10,set,AFR,rareMythic,1
10,set,AFR,uncommon,6
10,set,AFR,wildcard,2
11,set,AFR,basic,1
11,set,AFR,commonUncommonShowcase,1
11,set,AFR,foilWithShowcase,1
11,set,AFR,rareMythic,1
11,set,AFR,theList,1
11,set,AFR,uncommon,6
11,set,AFR,wildcard,2
12,set,AFR,common,5
12,set,AFR,commonUncommonShowcase,1
12,set,AFR,foilBasic,1
12,set,AFR,foilWithShowcase,1
12,set,AFR,rareMythic,1
12,set,AFR,uncommon,1
12,set,AFR,wildcard,2
13,set,AFR,common,5
13,set,AFR,commonUncommonShowcase,1
13,set,AFR,foilBasic,1
13,set,AFR,foilWithShowcase,1
13,set,AFR,rareMythic,1
13,set,AFR,theList,1
13,set,AFR,uncommon,1
13,set,AFR,wildcard,2
14,set,AFR,common,4
14,set,AFR,commonUncommonShowcase,1
14,set,AFR,foilBasic,1
14,set,AFR,foilWithShowcase,1
14,set,AFR,rareMythic,1
14,set,AFR,uncommon,2
14,set,AFR,wildcard,2
15,set,AFR,common,4
15,set,AFR,commonUncommonShowcase,1
15,set,AFR,foilBasic,1
15,set,AFR,foilWithShowcase,1
15,set,AFR,rareMythic,1
15,set,AFR,theList,1
15,set,AFR,uncommon,2
15,set,AFR,wildcard,2
16,set,AFR,common,3
16,set,AFR,commonUncommonShowcase,1
16,set,AFR,foilBasic,1
16,set,AFR,foilWithShowcase,1
16,set,AFR,rareMythic,1
16,set,AFR,uncommon,3
16,set,AFR,wildcard,2
17,set,AFR,common,3
17,set,AFR,commonUncommonShowcase,1
17,set,AFR,foilBasic,1
17,set,AFR,foilWithShowcase,1
17,set,AFR,rareMythic,1
17,set,AFR,theList,1
17,set,AFR,uncommon,3
17,set,AFR,wildcard,2
18,set,AFR,common,2
18,set,AFR,commonUncommonShowcase,1
18,set,AFR,foilBasic,1
18,set,AFR,foilWithShowcase,1
18,set,AFR,rareMythic,1
18,set,AFR,uncommon,4
18,set,AFR,wildcard,2
19,set,AFR,common,2
19,set,AFR,commonUncommonShowcase,1
19,set,AFR,foilBasic,1
19,set,AFR,foilWithShowcase,1
19,set,AFR,rareMythic,1
19,set,AFR,theList,1
19,set,AFR,uncommon,4
19,set,AFR,wildcard,2
20,set,AFR,common,1
20,set,AFR,commonUncommonShowcase,1
20,set,AFR,foilBasic,1
20,set,AFR,foilWithShowcase,1
20,set,AFR,rareMythic,1
20,set,AFR,uncommon,5
20,set,AFR,wildcard,2
21,set,AFR,common,1
21,set,AFR,commonUncommonShowcase,1
21,set,AFR,foilBasic,1
21,set,AFR,foilWithShowcase,1
21,set,AFR,rareMythic,1
21,set,AFR,theList,1
21,set,AFR,uncommon,5
21,set,AFR,wildcard,2
22,set,AFR,commonUncommonShowcase,1
22,set,AFR,foilBasic,1
22,set,AFR,foilWithShowcase,1
22,set,AFR,rareMythic,1
22,set,AFR,uncommon,6
22,set,AFR,wildcard,2
23,set,AFR,commonUncommonShowcase,1
23,set,AFR,foilBasic,1
23,set,AFR,foilWithShowcase,1
23,set,AFR,rareMythic,1
23,set,AFR,theList,1
23,set,AFR,uncommon,6
23,set,AFR,wildcard,2
0,theme-b,AFR,common,24
0,theme-b,AFR,rareMythic,1
0,theme-b,AFR,uncommon,10
1,theme-b,AFR,common,24
1,theme-b,AFR,rareMythic,2
1,theme-b,AFR,uncommon,9
2,theme-b,AFR,common,23
2,theme-b,AFR,rareMythic,1
2,theme-b,AFR,uncommon,11
3,theme-b,AFR,common,23
3,theme-b,AFR,rareMythic,2
3,theme-b,AFR,uncommon,10
4,theme-b,AFR,common,22
4,theme-b,AFR,rareMythic,1
4,theme-b,AFR,uncommon,12
5,theme-b,AFR,common,22
5,theme-b,AFR,rareMythic,2
5,theme-b,AFR,uncommon,11
6,theme-b,AFR,common,21
6,theme-b,AFR,rareMythic,1
6,theme-b,AFR,uncommon,13
7,theme-b,AFR,common,21
7,theme-b,AFR,rareMythic,2
7,theme-b,AFR,uncommon,12
0,theme-dungeons,AFR,common,24
0,theme-dungeons,AFR,rareMythic,1
0,theme-dungeons,AFR,uncommon,10
1,theme-dungeons,AFR,common,24
1,theme-dungeons,AFR,rareMythic,2
1,theme-dungeons,AFR,uncommon,9
2,theme-dungeons,AFR,common,23
2,theme-dungeons,AFR,rareMythic,1
2,theme-dungeons,AFR,uncommon,11
3,theme-dungeons,AFR,common,23
3,theme-dungeons,AFR,rareMythic,2
3,theme-dungeons,AFR,uncommon,10
4,theme-dungeons,AFR,common,22
4,theme-dungeons,AFR,rareMythic,1
4,theme-dungeons,AFR,uncommon,12
5,theme-dungeons,AFR,common,22
5,theme-dungeons,AFR,rareMythic,2
5,theme-dungeons,AFR,uncommon,11
6,theme-dungeons,AFR,common,21
6,theme-dungeons,AFR,rareMythic,1
6,theme-dungeons,AFR,uncommon,13
7,theme-dungeons,AFR,common,21
7,theme-dungeons,AFR,rareMythic,2
7,theme-dungeons,AFR,uncommon,12
0,theme-g,AFR,common,24
0,theme-g,AFR,rareMythic,1
0,theme-g,AFR,uncommon,10
1,theme-g,AFR,common,24
1,theme-g,AFR,rareMythic,2
1,theme-g,AFR,uncommon,9
2,theme-g,AFR,common,23
2,theme-g,AFR,rareMythic,1
2,theme-g,AFR,uncommon,11
3,theme-g,AFR,common,23
3,theme-g,AFR,rareMythic,2
3,theme-g,AFR,uncommon,10
4,theme-g,AFR,common,22
4,theme-g,AFR,rareMythic,1
4,theme-g,AFR,uncommon,12
5,theme-g,AFR,common,22
5,theme-g,AFR,rareMythic,2
5,theme-g,AFR,uncommon,11
6,theme-g,AFR,common,21
6,theme-g,AFR,rareMythic,1
6,theme-g,AFR,uncommon,13
7,theme-g,AFR,common,21
7,theme-g,AFR,rareMythic,2
7,theme-g,AFR,uncommon,12
0,theme-r,AFR,common,24
0,theme-r,AFR,rareMythic,1
0,theme-r,AFR,uncommon,10
1,theme-r,AFR,common,24
1,theme-r,AFR,rareMythic,2
1,theme-r,AFR,uncommon,9
2,theme-r,AFR,common,23
2,theme-r,AFR,rareMythic,1
2,theme-r,AFR,uncommon,11
3,theme-r,AFR,common,23
3,theme-r,AFR,rareMythic,2
3,theme-r,AFR,uncommon,10
4,theme-r,AFR,common,22
4,theme-r,AFR,rareMythic,1
4,theme-r,AFR,uncommon,12
5,theme-r,AFR,common,22
5,theme-r,AFR,rareMythic,2
5,theme-r,AFR,uncommon,11
6,theme-r,AFR,common,21
6,theme-r,AFR,rareMythic,1
6,theme-r,AFR,uncommon,13
7,theme-r,AFR,common,21
7,theme-r,AFR,rareMythic,2
7,theme-r,AFR,uncommon,12
0,theme-u,AFR,common,24
0,theme-u,AFR,rareMythic,1
0,theme-u,AFR,uncommon,10
1,theme-u,AFR,common,24
1,theme-u,AFR,rareMythic,2
1,theme-u,AFR,uncommon,9
2,theme-u,AFR,common,23
2,theme-u,AFR,rareMythic,1
2,theme-u,AFR,uncommon,11
3,theme-u,AFR,common,23
3,theme-u,AFR,rareMythic,2
3,theme-u,AFR,uncommon,10
4,theme-u,AFR,common,22
4,theme-u,AFR,rareMythic,1
4,theme-u,AFR,uncommon,12
5,theme-u,AFR,common,22
5,theme-u,AFR,rareMythic,2
5,theme-u,AFR,uncommon,11
6,theme-u,AFR,common,21
6,theme-u,AFR,rareMythic,1
6,theme-u,AFR,uncommon,13
7,theme-u,AFR,common,21
7,theme-u,AFR,rareMythic,2
7,theme-u,AFR,uncommon,12
0,theme-w,AFR,common,24
0,theme-w,AFR,rareMythic,1
0,theme-w,AFR,uncommon,10
1,theme-w,AFR,common,24
1,theme-w,AFR,rareMythic,2
1,theme-w,AFR,uncommon,9
2,theme-w,AFR,common,23
2,theme-w,AFR,rareMythic,1
2,theme-w,AFR,uncommon,11
3,theme-w,AFR,common,23
3,theme-w,AFR,rareMythic,2
3,theme-w,AFR,uncommon,10
4,theme-w,AFR,common,22
4,theme-w,AFR,rareMythic,1
4,theme-w,AFR,uncommon,12
5,theme-w,AFR,common,22
5,theme-w,AFR,rareMythic,2
5,theme-w,AFR,uncommon,11
6,theme-w,AFR,common,21
6,theme-w,AFR,rareMythic,1
6,theme-w,AFR,uncommon,13
7,theme-w,AFR,common,21
7,theme-w,AFR,rareMythic,2
7,theme-w,AFR,uncommon,12
0,draft,AKH,basic,1
0,draft,AKH,common,10
0,draft,AKH,rareMythic,1
0,draft,AKH,uncommon,3
1,draft,AKH,basic,1
1,draft,AKH,common,9
1,draft,AKH,foilOrMasterpiece1In129,1
1,draft,AKH,rareMythic,1
1,draft,AKH,uncommon,3
0,prerelease,AKH,prereleasePromo,1
0,arena,AKR,common,10
0,arena,AKR,rareMythic,1
0,arena,AKR,uncommon,3
0,draft,ALA,basic,1
0,draft,ALA,common,10
0,draft,ALA,rareMythic,1
0,draft,ALA,uncommon,3
1,draft,ALA,basic,1
1,draft,ALA,common,9
1,draft,ALA,foil,1
1,draft,ALA,rareMythic,1
1,draft,ALA,uncommon,3
0,premium,ALA,alaraPremiumBasic,1
0,premium,ALA,alaraPremiumCommon,10
0,premium,ALA,alaraPremiumRareMythic,1
0,premium,ALA,alaraPremiumUncommon,3
